train_no,station_code,arrival_time,departure_time,stop_sequence
22944,NAD,18:58:00,18:58:00,4
22944,RTM,19:45:00,19:45:00,5
12962,INDB,17:45:00,17:45:00,1
12962,DWX,18:25:00,18:25:00,2
12962,UJN,19:05:00,19:05:00,3
12962,NAD,20:00:00,20:00:00,4
12962,RTM,20:30:00,20:30:00,5
19315,INDB,18:20:00,18:20:00,1
19315,DWX,19:05:00,19:05:00,2
19315,UJN,20:00:00,20:00:00,3
19315,NAD,21:00:00,21:00:00,4
19315,RTM,21:45:00,21:45:00,5
12228,INDB,21:00:00,21:00:00,1
12228,DWX,21:35:00,21:35:00,2
12228,UJN,22:10:00,22:10:00,3
12228,NAD,22:55:00,22:55:00,4
12228,RTM,23:30:00,23:30:00,5
20932,INDB,21:40:00,21:40:00,1
20932,DWX,22:25:00,22:25:00,2
20932,UJN,23:10:00,23:10:00,3
20932,NAD,00:05:00,00:05:00,4
20932,RTM,00:45:00,00:45:00,5
19320,INDB,22:20:00,22:20:00,1
19320,DWX,23:05:00,23:05:00,2
19320,UJN,23:55:00,23:55:00,3
19320,NAD,00:45:00,00:45:00,4
19320,RTM,01:30:00,01:30:00,5
19310,INDB,23:00:00,23:00:00,1
19310,DWX,23:42:00,23:42:00,2
19310,UJN,00:30:00,00:30:00,3
19310,NAD,01:25:00,01:25:00,4
19310,RTM,02:05:00,02:05:00,5
20936,INDB,23:30:00,23:30:00,1
20936,DWX,00:10:00,00:10:00,2
20936,UJN,00:55:00,00:55:00,3
20936,NAD,01:45:00,01:45:00,4
20936,RTM,02:25:00,02:25:00,5
